anzahl;vorname;geschlecht;position
257;Marie;w;2
170;Sophie;w;2
144;Maria;w;2
109;Noah;m;1
104;Marie;w;1
103;Emilia;w;1
95;Paul;m;1
89;Ben;m;1
87;Mia;w;1
84;Jonas;m;1
82;Mila;w;1
79;Lina;w;1
78;Anton;m;1
77;Tom;m;1
76;Alexander;m;2
76;Emma;w;1
76;Leon;m;1
74;Anna;w;1
72;Lea;w;1
71;Felix;m;1
65;Elias;m;1
65;Oskar;m;1
64;Ella;w;1
62;Maximilian;m;2
61;Liam;m;1
60;Theo;m;1
57;Katharina;w;2
57;Jakob;m;1
57;Leo;m;1
56;Charlotte;w;1
56;Clara;w;1
56;Leni;w;1
56;Leonard;m;1
55;Henry;m;1
54;Maximilian;m;1
53;Lena;w;1
53;Sophia;w;1
52;Sophie;w;1
52;David;m;1
52;Luis;m;1
52;Moritz;m;1
51;Greta;w;1
51;Jonathan;m;1
50;Leonie;w;1
50;Finn;m;1
50;Milan;m;1
48;Julian;m;1
48;Mats;m;1
47;Luca;m;1
46;Elif;w;1
45;Julius;m;1
44;Charlotte;w;2
44;Lara;w;1
44;Paula;w;1
43;Emily;w;1
43;Hanna;w;1
43;Luisa;w;1
43;Mina;w;1
43;Adam;m;1
42;Elisabeth;w;2
42;Johanna;w;2
42;Tim;m;1
42;Vincent;m;1
41;Ida;w;1
41;Louis;m;1
40;Elias;m;2
40;Elisa;w;1
40;Hannah;w;1
40;Alexander;m;1
40;Lukas;m;1
39;Johanna;w;1
39;Klara;w;1
38;Mira;w;1
38;Henri;m;1
37;Lia;w;1
37;Mathilda;w;1
37;Emil;m;1
36;Paul;m;2
36;Matilda;w;1
36;Sofia;w;1
36;Max;m;1
35;Nele;w;1
35;Jan;m;1
34;Frida;w;1
34;Nora;w;1
34;Levi;m;1
33;Amelie;w;1
32;Ali;m;2
32;Anton;m;2
32;Anna;w;2
32;Emilia;w;2
32;Luise;w;2
32;Sophia;w;2
32;Emir;m;1
32;Frieda;w;1
32;Karl;m;1
32;Marlene;w;1
32;Yusuf;m;1
32;Tilda;w;1
31;Samuel;m;1
31;Lotta;w;1
31;Theodor;m;1
31;Maja;w;1
31;Romy;w;1
30;Benjamin;m;1
30;Matteo;m;1
30;Niklas;m;1
29;Mara;w;1
29;Maria;w;1
29;Philipp;m;1
28;Johann;m;2
28;Nur;w;2
28;Maya;w;1
28;Mika;m;1
28;Melina;w;1
28;Sarah;w;1
27;David;m;2
27;Amalia;w;1
27;Antonia;w;1
27;Ela;w;1
27;Laura;w;1
27;Lisa;w;1
26;Luisa;w;2
26;Erik;m;1
26;Fabian;m;1
26;Gabriel;m;1
26;Helena;w;1
26;Sara;w;1
25;Jakob;m;2
25;Peter;m;2
25;Daniel;m;1
25;Lian;m;1
25;Alina;w;1
25;Carla;w;1
25;Isabella;w;1
25;Jana;w;1
24;Johannes;m;2
24;Josefine;w;2
24;Ali;m;1
24;Johann;m;1
24;Jonah;m;1
24;Piet;m;1
24;Carlotta;w;1
24;Julia;w;1
24;Lilly;w;1
23;Karl;m;2
23;Valentin;m;2
23;Ava;w;1
23;Elena;w;1
22;Elisa;w;2
22;Adrian;m;1
22;Jasper;m;1
22;Mateo;m;1
22;Ole;m;1
22;Simon;m;1
22;Juna;w;1
22;Louisa;w;1
22;Victoria;w;1
21;Felix;m;2
21;Gabriel;m;2
21;Henry;m;2
21;Pauline;w;2
21;Josef;m;2
21;Philipp;m;2
21;Bruno;m;1
21;Carl;m;1
21;Johannes;m;1
21;Joshua;m;1
21;Malik;m;1
21;Alessia;w;1
21;Olivia;w;1
21;Pauline;w;1
20;Victoria;w;2
20;Ilyas;m;1
20;Leonardo;m;1
20;Milo;m;1
20;Toni;m;1
20;Valentin;m;1
20;Zoe;w;1
19;Emil;m;2
19;Jannis;m;1
19;Karla;w;1
19;Jona;m;1
19;Luise;w;1
19;Luna;w;1
19;Thea;w;1
19;Zeynep;w;1
18;Maria;w;3
18;Marlene;w;2
18;Benjamin;m;2
18;Jonathan;m;2
18;Julius;m;2
18;Leonard;m;2
18;Matthias;m;2
18;Michael;m;2
18;Noah;m;2
18;Aaron;m;1
18;Kian;m;1
18;Marlon;m;1
18;Muhammed;m;1
18;Liya;w;1
18;Till;m;1
18;Paulina;w;1
18;Ömer;m;1
17;Louise;w;2
17;Eva;w;1
17;Benedikt;m;1
17;Luana;w;1
17;Constantin;m;1
17;Meryem;w;1
17;Luan;m;1
17;Stella;w;1
16;Josephine;w;2
16;Sofia;w;2
16;Su;w;2
16;Jan;m;2
16;Julian;m;2
16;Luca;m;2
16;Lukas;m;2
16;Alessio;m;1
16;Elina;w;1
16;Emilio;m;1
16;Josefine;w;1
16;Jonte;m;1
16;Merle;w;1
16;Justus;m;1
16;Milla;w;1
16;Kaan;m;1
16;Rosa;w;1
16;Mikail;m;1
16;Timo;m;1
15;Matilda;w;2
15;Daniel;m;2
15;Alma;w;1
15;Amelia;w;1
15;Carlo;m;1
15;Amina;w;1
15;Frederik;m;1
15;Hira;w;1
15;Kilian;m;1
15;Pia;w;1
15;Nils;m;1
14;Rose;w;2
14;Friedrich;m;2
14;Leon;m;2
14;Levi;m;2
14;Sebastian;m;2
14;Isabel;w;1
14;Ferdinand;m;1
14;Isabelle;w;1
14;Lennard;m;1
14;Jule;w;1
14;Lucas;m;1
14;Katharina;w;1
14;Luka;m;1
14;Liv;w;1
14;Rafael;m;1
14;Raphael;m;1
13;Can;m;2
13;Jonas;m;2
13;Louis;m;2
13;Maria;m;2
13;Martin;m;2
13;Alva;w;1
13;Finja;w;1
13;Benno;m;1
13;Linda;w;1
13;Deniz;m;1
13;Nina;w;1
13;Emilian;m;1
13;Viola;w;1
13;Florian;m;1
13;Fritz;m;1
13;Hannes;m;1
13;Jannik;m;1
13;Maxim;m;1
13;Nick;m;1
13;Pepe;m;1
13;Sam;m;1
12;Isabella;w;2
12;Julia;w;2
12;Louisa;w;2
12;Ferdinand;m;2
12;Georg;m;2
12;Oskar;m;2
12;Samuel;m;2
12;Theodor;m;2
12;Alice;w;1
12;Ayla;w;1
12;Elisabeth;w;1
12;Emmi;w;1
12;Fiona;w;1
12;Josephine;w;1
12;Lana;w;1
12;Leyla;w;1
12;Arian;m;1
12;Malia;w;1
12;Damian;m;1
12;Nisa;w;1
12;Linus;m;1
12;Matti;m;1
12;Mert;m;1
12;Miraç;m;1
12;Mohammed;m;1
11;Sophie;w;3
11;Lena;w;2
11;Magdalena;w;2
11;Valentina;w;2
11;Carl;m;2
11;Finn;m;2
11;Frederik;m;2
11;Henri;m;2
11;Leo;m;2
11;Wilhelm;m;2
11;Aaliyah;w;1
11;Aleyna;w;1
11;Anastasia;w;1
11;Aurora;w;1
11;Ellen;w;1
11;Amin;m;1
11;Emilie;w;1
11;Arthur;m;1
11;Miray;w;1
11;Konstantin;m;1
11;Nela;w;1
11;Lasse;m;1
11;Lennox;m;1
11;Lias;m;1
11;Lio;m;1
11;Martin;m;1
11;Mohamed;m;1
11;Mohammad;m;1
11;Musa;m;1
11;Nicolas;m;1
11;Philip;m;1
11;Rayan;m;1
11;Robin;m;1
10;Marie;w;3
10;Carlotta;w;2
10;Christina;w;2
10;Elif;w;2
10;Elise;w;2
10;Emma;w;2
10;Grace;w;2
10;Mathilda;w;2
10;Mia;w;2
10;Rosa;w;2
10;Sofie;w;2
10;Andreas;m;2
10;Antonio;m;2
10;Emir;m;2
10;Heinrich;m;2
10;Joel;m;2
10;Liam;m;2
10;Milan;m;2
10;Noel;m;2
10;Aurelia;w;1
10;Azra;w;1
10;Diana;w;1
10;Elli;w;1
10;Enna;w;1
10;Laila;w;1
10;Lene;w;1
10;Liana;w;1
10;Melissa;w;1
10;Milana;w;1
10;Valentina;w;1
10;Viktoria;w;1
10;Aras;m;1
10;Ayaz;m;1
10;Enes;m;1
10;Enno;m;1
10;Eymen;m;1
10;Henrik;m;1
10;Hugo;m;1
10;Joel;m;1
10;John;m;1
10;Levin;m;1
10;Mustafa;m;1
10;Nico;m;1
10;Silas;m;1
9;Elisabeth;w;3
9;Alexandra;w;2
9;Antonia;w;2
9;Eleni;w;2
9;Franziska;w;2
9;Helena;w;2
9;Malou;w;2
9;Mina;w;2
9;Philippa;w;2
9;Theresa;w;2
9;Viktoria;w;2
9;Bo;m;2
9;Christian;m;2
9;Emin;m;2
9;Fabian;m;2
9;Fritz;m;2
9;Joshua;m;2
9;Luis;m;2
9;Malik;m;2
9;Matteo;m;2
9;Maxim;m;2
9;Ole;m;2
9;Alicia;w;1
9;Aliyah;w;1
9;Amira;w;1
9;Amy;w;1
9;Anni;w;1
9;Aylin;w;1
9;Ellie;w;1
9;Fatima;w;1
9;Giulia;w;1
9;Helen;w;1
9;Lola;w;1
9;Lorena;w;1
9;Lotte;w;1
9;Alessandro;m;1
9;Malina;w;1
9;Bela;m;1
9;Martha;w;1
9;Caspar;m;1
9;Melek;w;1
9;Filip;m;1
9;Milena;w;1
9;Ibrahim;m;1
9;Mona;w;1
9;Jaron;m;1
9;Nila;w;1
9;Joris;m;1
9;Pina;w;1
9;Lennart;m;1
9;Selma;w;1
9;Lenny;m;1
9;Sofie;w;1
9;Mahir;m;1
9;Theresa;w;1
9;Michel;m;1
9;Yuna;w;1
9;Miran;m;1
9;Zehra;w;1
9;Pablo;m;1
9;Phil;m;1
9;Umut;m;1
9;Yiğit;m;1
8;Elena;w;2
8;Felicitas;w;2
8;Greta;w;2
8;Helene;w;2
8;Klara;w;2
8;Leonie;w;2
8;Lina;w;2
8;Lou;w;2
8;Lynn;w;2
8;Adam;m;2
8;Efe;m;2
8;Emilio;m;2
8;Franz;m;2
8;Linus;m;2
8;Mario;m;2
8;Max;m;2
8;Moritz;m;2
8;Nicolas;m;2
8;Raphael;m;2
8;Rolf;m;2
8;Salvatore;m;2
8;Adriana;w;1
8;Cleo;w;1
8;Esila;w;1
8;Esma;w;1
8;Ahmet;m;1
8;Flora;w;1
8;Alan;m;1
8;Helene;w;1
8;Bilal;m;1
8;Leana;w;1
8;Can;m;1
8;Lilli;w;1
8;Diego;m;1
8;Louise;w;1
8;Dominik;m;1
8;Lucia;w;1
8;Elia;m;1
8;Lucy;w;1
8;Eliah;m;1
8;Malou;w;1
8;Elyas;m;1
8;Marla;w;1
8;Emin;m;1
8;Mayla;w;1
8;Eric;m;1
8;Nika;w;1
8;Fabio;m;1
8;Selina;w;1
8;Giuliano;m;1
8;Zoé;w;1
8;Hamza;m;1
8;James;m;1
8;Jannes;m;1
8;Joscha;m;1
8;Juri;m;1
8;Kaspar;m;1
8;Kenan;m;1
8;Kerem;m;1
8;Kiyan;m;1
8;Mark;m;1
8;Matthias;m;1
8;Mattis;m;1
8;Noel;m;1
8;Oliver;m;1
8;Omar;m;1
8;Sebastian;m;1
8;Selim;m;1
8;Titus;m;1
8;Tobias;m;1
7;Amalia;w;2
7;Amelie;w;2
7;Christine;w;2
7;Ela;w;2
7;Lia;w;2
7;Liv;w;2
7;Lotta;w;2
7;Lucia;w;2
7;Margarete;w;2
7;Olivia;w;2
7;Paulina;w;2
7;Angelo;m;2
7;Ben;m;2
7;Bruno;m;2
7;Hans;m;2
7;Justus;m;2
7;Kaan;m;2
7;Philip;m;2
7;Vincent;m;2
7;Alea;w;1
7;Alisa;w;1
7;Ariana;w;1
7;Chiara;w;1
7;Dana;w;1
7;Eda;w;1
7;Eslem;w;1
7;Gloria;w;1
7;Jasmin;w;1
7;Kira;w;1
7;Leona;w;1
7;Liah;w;1
7;Liara;w;1
7;Maryam;w;1
7;Michelle;w;1
7;Miriam;w;1
7;Noemi;w;1
7;Ronja;w;1
7;Rosalie;w;1
7;Abdullah;m;1
7;Sena;w;1
7;Ahmad;m;1
7;Tara;w;1
7;Alex;m;1
7;Tuana;w;1
7;Alexandros;m;1
7;Valerie;w;1
7;Amir;m;1
7;Vanessa;w;1
7;Anas;m;1
7;Aron;m;1
7;Aurelio;m;1
7;Christian;m;1
7;Francesco;m;1
7;Frederick;m;1
7;Giuseppe;m;1
7;Hendrik;m;1
7;Ilay;m;1
7;Ivan;m;1
7;Jaro;m;1
7;Leandro;m;1
7;Leopold;m;1
7;Lion;m;1
7;Lionel;m;1
7;Luke;m;1
7;Marko;m;1
7;Nathan;m;1
7;Neo;m;1
7;Oscar;m;1
7;Semih;m;1
7;Thiago;m;1
6;Martin;m;3
6;Wilhelm;m;3
6;Charlotte;w;3
6;Katharina;w;3
6;Alina;w;2
6;Clara;w;2
6;Ellen;w;2
6;Frieda;w;2
6;Hanna;w;2
6;Julie;w;2
6;Lilly;w;2
6;Lotte;w;2
6;Marleen;w;2
6;Nina;w;2
6;Adrian;m;2
6;Arthur;m;2
6;Asaf;m;2
6;August;m;2
6;Benedikt;m;2
6;Constantin;m;2
6;Eren;m;2
6;Francesco;m;2
6;Halis;m;2
6;Hannes;m;2
6;Hasan;m;2
6;Ibrahim;m;2
6;Jasper;m;2
6;Jonah;m;2
6;Konstantin;m;2
6;Leandro;m;2
6;Miguel;m;2
6;Niklas;m;2
6;Rafael;m;2
6;Theo;m;2
6;Thomas;m;2
6;Wolfgang;m;2
6;Alexandra;w;1
6;Amine;w;1
6;Annika;w;1
6;Aria;w;1
6;Dalia;w;1
6;Daria;w;1
6;Eleni;w;1
6;Eliana;w;1
6;Elise;w;1
6;Eylül;w;1
6;Felicitas;w;1
6;Filippa;w;1
6;Fritzi;w;1
6;Helin;w;1
6;Jolina;w;1
6;Leia;w;1
6;Lilia;w;1
6;Linn;w;1
6;Livia;w;1
6;Lou;w;1
6;Magdalena;w;1
6;Malak;w;1
6;Adriano;m;1
6;Medina;w;1
6;Antonio;m;1
6;Philippa;w;1
6;Ari;m;1
6;Selin;w;1
6;Armin;m;1
6;Tessa;w;1
6;Arne;m;1
6;Valeria;w;1
6;Ayoub;m;1
6;Zoey;w;1
6;Charlie;m;1
6;Dean;m;1
6;Devran;m;1
6;Elian;m;1
6;Eliano;m;1
6;Jacob;m;1
6;Jakub;m;1
6;Jano;m;1
6;Jayden;m;1
6;Johan;m;1
6;Karlo;m;1
6;Kuzey;m;1
6;Lars;m;1
6;Leander;m;1
6;Michael;m;1
6;Mio;m;1
6;Nevio;m;1
6;Nikolas;m;1
6;Robert;m;1
6;Sami;m;1
6;Severin;m;1
6;Timur;m;1
6;Yannick;m;1
5;Peter;m;3
5;Aurelia;w;2
5;Ava;w;2
5;Barbara;w;2
5;Carla;w;2
5;Christin;w;2
5;Eleonore;w;2
5;Ella;w;2
5;Florentine;w;2
5;Freya;w;2
5;Hannah;w;2
5;Ida;w;2
5;Isabel;w;2
5;Jolie;w;2
5;Lea;w;2
5;Leia;w;2
5;Malin;w;2
5;May;w;2
5;Maya;w;2
5;Melek;w;2
5;Meryem;w;2
5;Naz;w;2
5;Renate;w;2
5;Sara;w;2
5;Teresa;w;2
5;Zeynep;w;2
5;Alp;m;2
5;Arian;m;2
5;Caspar;m;2
5;Casper;m;2
5;Christoph;m;2
5;Cornelius;m;2
5;Enno;m;2
5;Giuseppe;m;2
5;Gustav;m;2
5;Hamza;m;2
5;Hermann;m;2
5;Jacob;m;2
5;Jona;m;2
5;Konrad;m;2
5;Leonardo;m;2
5;Lino;m;2
5;Luan;m;2
5;Luke;m;2
5;Mattis;m;2
5;Mehmet;m;2
5;Mika;m;2
5;Milo;m;2
5;Musa;m;2
5;Oscar;m;2
5;René;m;2
5;Richard;m;2
5;Robert;m;2
5;Simon;m;2
5;Stefan;m;2
5;Tom;m;2
5;Ulrich;m;2
5;Uwe;m;2
5;Valentino;m;2
5;Yusuf;m;2
5;Ada;w;1
5;Ahsen;w;1
5;Aliya;w;1
5;Annabell;w;1
5;Anouk;w;1
5;Arina;w;1
5;Arya;w;1
5;Asya;w;1
5;Ayşe;w;1
5;Camille;w;1
5;Cataleya;w;1
5;Ceylin;w;1
5;Damla;w;1
5;Edda;w;1
5;Eleonora;w;1
5;Emelie;w;1
5;Florentine;w;1
5;Hana;w;1
5;Hedi;w;1
5;Jonna;w;1
5;Julie;w;1
5;Leonora;w;1
5;Lynn;w;1
5;Ahmed;m;1
5;Maila;w;1
5;Andreas;m;1
5;Marina;w;1
5;Berat;m;1
5;Marta;w;1
5;Devin;m;1
5;Meyra;w;1
5;Edgar;m;1
5;Natalie;w;1
5;Efe;m;1
5;Ruby;w;1
5;Elijah;m;1
5;Soraya;w;1
5;Eray;m;1
5;Talia;w;1
5;Fiete;m;1
5;Vivien;w;1
5;Friedrich;m;1
5;Fynn;m;1
5;Gustav;m;1
5;İlyas;m;1
5;Jack;m;1
5;Jamie;m;1
5;Janis;m;1
5;Janosch;m;1
5;Jorin;m;1
5;Karim;m;1
5;Kerim;m;1
5;Konrad;m;1
5;Laurenz;m;1
5;Leano;m;1
5;Len;m;1
5;Levian;m;1
5;Malte;m;1
5;Marc;m;1
5;Marco;m;1
5;Mattia;m;1
5;Mete;m;1
5;Mick;m;1
5;Miguel;m;1
5;Mike;m;1
5;Nicklas;m;1
5;Nikita;m;1
5;Onur;m;1
5;Roman;m;1
5;Salvatore;m;1
5;Thilo;m;1
5;Thomas;m;1
5;Victor;m;1
5;Yasin;m;1
5;Yassin;m;1
5;Younes;m;1
4;Karl;m;3
4;Maria;m;3
4;Maximilian;m;3
4;Wolfgang;m;3
4;Dorothea;w;3
4;Josefine;w;3
4;Luise;w;3
4;Renate;w;3
4;Ada;w;2
4;Ahmed;w;2
4;Amélie;w;2
4;Anastasia;w;2
4;Antonella;w;2
4;Caroline;w;2
4;Celina;w;2
4;Chiara;w;2
4;Chloé;w;2
4;Claire;w;2
4;Claudia;w;2
4;Fiona;w;2
4;Frida;w;2
4;Hazal;w;2
4;Helen;w;2
4;Isabelle;w;2
4;Jane;w;2
4;Joleen;w;2
4;Juna;w;2
4;Kristin;w;2
4;Leni;w;2
4;Leyla;w;2
4;Lisa;w;2
4;Liya;w;2
4;Madita;w;2
4;Maja;w;2
4;Mara;w;2
4;Margaretha;w;2
4;Martha;w;2
4;Mathilde;w;2
4;Mila;w;2
4;Mira;w;2
4;Paula;w;2
4;Sabine;w;2
4;Sultan;w;2
4;Thea;w;2
4;Theodora;w;2
4;Valeria;w;2
4;Zoé;w;2
4;Ahmad;m;2
4;Albert;m;2
4;Bastian;m;2
4;Bela;m;2
4;Connor;m;2
4;Deniz;m;2
4;Dirk;m;2
4;Elijah;m;2
4;Emilian;m;2
4;Emre;m;2
4;Fiete;m;2
4;Gerhard;m;2
4;Henning;m;2
4;Henrik;m;2
4;Ilyas;m;2
4;James;m;2
4;Janosch;m;2
4;Kasimir;m;2
4;Leander;m;2
4;Lee;m;2
4;Leopold;m;2
4;Lucas;m;2
4;Ludwig;m;2
4;Luka;m;2
4;Magnus;m;2
4;Manfred;m;2
4;Matti;m;2
4;Maurice;m;2
4;Mert;m;2
4;Michel;m;2
4;Mirza;m;2
4;Neo;m;2
4;Oliver;m;2
4;Pablo;m;2
4;Pepe;m;2
4;Rudolf;m;2
4;Severin;m;2
4;Singh;m;2
4;Thore;m;2
4;Willem;m;2
4;Willi;m;2
4;William;m;2
4;Almira;w;1
4;Alya;w;1
4;Amilia;w;1
4;Amélie;w;1
4;Angelina;w;1
4;Anisa;w;1
4;Annabelle;w;1
4;Celina;w;1
4;Defne;w;1
4;Dilara;w;1
4;Ece;w;1
4;Eliz;w;1
4;Elsa;w;1
4;Emely;w;1
4;Evin;w;1
4;Fatma;w;1
4;Franziska;w;1
4;Freda;w;1
4;Freya;w;1
4;Gioia;w;1
4;Hafsa;w;1
4;Hatice;w;1
4;Hilda;w;1
4;Iman;w;1
4;Isabell;w;1
4;Jara;w;1
4;Juli;w;1
4;Juno;w;1
4;Layla;w;1
4;Leah;w;1
4;Letizia;w;1
4;Liliana;w;1
4;Lucie;w;1
4;Madita;w;1
4;Maia;w;1
4;Adem;m;1
4;Marleen;w;1
4;Adil;m;1
4;Marlena;w;1
4;Albert;m;1
4;Matea;w;1
4;Alberto;m;1
4;Mathilde;w;1
4;Alexandru;m;1
4;Melike;w;1
4;Amar;m;1
4;Melin;w;1
4;Amaru;m;1
4;Melis;w;1
4;Angelo;m;1
4;Merve;w;1
4;Arion;m;1
4;Naomi;w;1
4;Atilla;m;1
4;Narin;w;1
4;Bastian;m;1
4;Neyla;w;1
4;Bennet;m;1
4;Nilay;w;1
4;Bo;m;1
4;Nour;w;1
4;Bryan;m;1
4;Nova;w;1
4;Chris;m;1
4;Philine;w;1
4;Christopher;m;1
4;Runa;w;1
4;Darian;m;1
4;Safiya;w;1
4;Dominic;m;1
4;Sina;w;1
4;Ediz;m;1
4;Tiara;w;1
4;Eduard;m;1
4;Vera;w;1
4;Ege;m;1
4;Wilma;w;1
4;Emre;m;1
4;Yasmin;w;1
4;Fred;m;1
4;Zeyneb;w;1
4;Hasan;m;1
4;Jari;m;1
4;Kalle;m;1
4;Kemal;m;1
4;Kevin;m;1
4;Koray;m;1
4;Lean;m;1
4;Lenn;m;1
4;Liyan;m;1
4;Lorenzo;m;1
4;Mads;m;1
4;Matheo;m;1
4;Maurice;m;1
4;Murat;m;1
4;Nael;m;1
4;Nelson;m;1
4;Nik;m;1
4;Niko;m;1
4;Peter;m;1
4;Phillip;m;1
4;Pius;m;1
4;Renas;m;1
4;Romeo;m;1
4;Ryan;m;1
4;Said;m;1
4;Seyyid;m;1
4;Taavi;m;1
4;Talha;m;1
4;Tristan;m;1
4;Vincenzo;m;1
4;Willem;m;1
4;William;m;1
4;Yannik;m;1
4;Yousef;m;1
4;Youssef;m;1
4;Yunus;m;1
4;Yusef;m;1
4;Özgür;m;1
3;Maria;m;4
3;Ali;m;3
3;Anton;m;3
3;Can;m;3
3;Elias;m;3
3;Anna;w;3
3;Emil;m;3
3;Helene;w;3
3;Friedrich;m;3
3;Henriette;w;3
3;Johannes;m;3
3;Ingrid;w;3
3;Jürgen;m;3
3;Michael;m;3
3;Paul;m;3
3;Philipp;m;3
3;Richard;m;3
3;Sebastian;m;3
3;Siegfried;m;3
3;Simon;m;3
3;Ahsen;w;2
3;Alessia;w;2
3;Aline;w;2
3;Alva;w;2
3;Anni;w;2
3;Azra;w;2
3;Catharina;w;2
3;Daniela;w;2
3;Dorothea;w;2
3;Ece;w;2
3;Edith;w;2
3;Elea;w;2
3;Emilie;w;2
3;Eva;w;2
3;Filippa;w;2
3;Flora;w;2
3;Giulia;w;2
3;Hatice;w;2
3;Hedi;w;2
3;Henrike;w;2
3;Hermine;w;2
3;Ilaria;w;2
3;Ira;w;2
3;Karin;w;2
3;Karla;w;2
3;Karlotta;w;2
3;Karoline;w;2
3;Kaur;w;2
3;Kiana;w;2
3;Lara;w;2
3;Laura;w;2
3;Leonor;w;2
3;Leonore;w;2
3;Livia;w;2
3;Luna;w;2
3;Luzie;w;2
3;Madeleine;w;2
3;Madlene;w;2
3;Manuela;w;2
3;Margarethe;w;2
3;Marianne;w;2
3;Marion;w;2
3;Marlies;w;2
3;Merve;w;2
3;Adriano;m;2
3;Michelle;w;2
3;Ahmet;m;2
3;Mieke;w;2
3;Alan;m;2
3;Monika;w;2
3;Alfred;m;2
3;Nicole;w;2
3;Andrei;m;2
3;Nisa;w;2
3;Antonius;m;2
3;Nora;w;2
3;Aras;m;2
3;Patricia;w;2
3;Asenov;m;2
3;Philine;w;2
3;Bennet;m;2
3;Pia;w;2
3;Bennett;m;2
3;Rosalie;w;2
3;Bernhard;m;2
3;Ruth;w;2
3;Bjarne;m;2
3;Sena;w;2
3;Brian;m;2
3;Sonja;w;2
3;Cem;m;2
3;Susanne;w;2
3;Charlie;m;2
3;Veronika;w;2
3;Clemens;m;2
3;Yvonne;w;2
3;Dean;m;2
3;Zehra;w;2
3;Dieter;m;2
3;Domenico;m;2
3;Eduard;m;2
3;Eliah;m;2
3;Emanuel;m;2
3;Ensar;m;2
3;Eymen;m;2
3;Fabio;m;2
3;Fernando;m;2
3;Frank;m;2
3;Frederick;m;2
3;Gregor;m;2
3;Harry;m;2
3;Heinz;m;2
3;Helmut;m;2
3;Hugo;m;2
3;Immanuel;m;2
3;Isaak;m;2
3;Jason;m;2
3;Joachim;m;2
3;Johan;m;2
3;Joseph;m;2
3;José;m;2
3;Julien;m;2
3;Kevin;m;2
3;Kurt;m;2
3;Lars;m;2
3;Leonhard;m;2
3;Levin;m;2
3;León;m;2
3;Lio;m;2
3;Lorenz;m;2
3;Malte;m;2
3;Marc;m;2
3;Marcel;m;2
3;Marco;m;2
3;Markus;m;2
3;Matheo;m;2
3;Mats;m;2
3;Mattes;m;2
3;Mikail;m;2
3;Mio;m;2
3;Miraç;m;2
3;Moses;m;2
3;Murat;m;2
3;Nepomuk;m;2
3;Nikolaus;m;2
3;Roman;m;2
3;Roni;m;2
3;Rudi;m;2
3;Samu;m;2
3;Santino;m;2
3;Tahir;m;2
3;Taylor;m;2
3;Thiago;m;2
3;Werner;m;2
3;Yiğit;m;2
